Name,Team,Capacity,Latitude,Longitude
"Adams Park","Wycombe Wanderers",10284,51.6306,-0.800299
"Almondvale Stadium","Livingston",10122,55.8864,-3.52207
"Amex Stadium","Brighton and Hove Albion",22374,50.8609,-0.08014
"Anfield","Liverpool",45522,53.4308,-2.96096
"Ashton Gate","Bristol City",21497,51.44,-2.62021
"B2net Stadium","Chesterfield",10400,53.2535,-1.4272
"Balmoor","Peterhead",4000,57.5112,-1.79599
"Bayview Stadium","East Fife",2000,56.1889,-2.99914
"Bescot Stadium","Walsall",11300,52.5655,-1.99053
"Bloomfield Road","Blackpool",16220,53.8046,-3.04834
"Boleyn Ground","West Ham United",35016,51.5321,0.039225
"Bootham Crescent","York City",7872,53.9695,-1.08833
"Borough Briggs","Elgin City",4927,57.6518,-3.3209
"Boundary Park","Oldham Athletic",10638,53.5551,-2.12847
"Bramall Lane","Sheffield United",32702,53.3703,-1.47083
"Brisbane Road","Leyton Orient",9271,51.5601,-0.012551
"Britannia Stadium","Stoke City",27598,52.9884,-2.17542
"Broadfield Stadium","Crawley Town",5996,51.0996,-0.194579
"Broadwood Stadium","Clyde",8029,55.9447,-4.0379
"Brunton Park","Carlisle United",18202,54.8955,-2.91365
"Cappielow Park","Greenock Morton",19612,55.9414,-4.72719
"Cardiff City Stadium","Cardiff City",26828,51.4729,-3.20413
"Carrow Road","Norwich City",27033,52.6221,1.30912
"Celtic Park","Celtic",60832,55.8497,-4.20561
"Central Park","Coedenbeath",4370,56.1088,-3.34717
"Cliftonhill","Albion Rovers",2496,55.8602,-4.01145
"Craven Cottage","Fulham",25700,51.4749,-0.221619
"Crown Ground","Accrington Stanley",5057,53.7654,-2.37106
"Deepdale","Preston North End",24500,53.772,-2.68832
"Dens Park","Dundee",11856,56.4747,-2.97352
"Dumbarton Football Stadium","Dumbarton",2025,55.9384,-4.56162
"DW Stadium","Wigan Athletic",25138,53.5477,-2.65415
"East End Park","Dunfermline",11380,56.0756,-3.44196
"Easter Road","Hibernian",20421,55.9616,-3.16521
"Edgar Street","Hereford United",5300,52.0607,-2.71774
"Elland Road","Leeds United",37697,53.7775,-1.57212
"Emirates Stadium","Arsenal",60361,51.5549,-0.108436
"Etihad Stadium","Manchester City",47805,53.483,-2.20024
"Ewood Park","Blackburn Rovers",31154,53.7286,-2.48937
"Falkirk Stadium","Falkirk",9200,56.0053,-3.75262
"Fir Park","Motherwell",13742,55.7804,-3.9803
"Firhill","Partick Thistle",13079,55.8815,-4.26938
"Forthbank Stadium","Stirling Albion",3808,56.1191,-3.91194
"Fratton Park","Portsmouth",21100,50.7964,-1.06389
"Galabank","Annan Athletic",2007,54.9948,-3.2612
"Gayfield Park","Arbroath",5940,56.5523,-2.5914
"Gigg Lane","Bury",11840,53.5805,-2.29487
"Glanford Park","Scunthorpe United",9088,53.5867,-0.695244
"Glebe Park","Brechin City",3960,56.7353,-2.6565
"Globe Arena","Morecambe",6476,54.0675,-2.84707
"Goodison Park","Everton",40157,53.4387,-2.96619
"Gresty Road","Crewe Alexandra",10153,53.0875,-2.43569
"Griffin Park","Brentford",12763,51.4882,-0.302621
"Hampden Park","Scotland, Queen's Park",52500,55.8258,-4.25198
"Highbury Stadium","Fleetwood Town",5094,53.9165,-3.02484
"Hillsborough","Sheffield Wednesday",39812,53.4115,-1.50075
"Home Park","Plymouth Argyle",16388,50.3882,-4.15076
"Huish Park","Yeovil Town",9665,50.9503,-2.67383
"Ibrox","Rangers",51082,55.8529,-4.30962
"Kassam Stadium ","Oxford United",12500,51.7164,-1.20775
"KC Stadium","Hull City",25586,53.7465,-0.368009
"Keepmoat Stadium","Doncaster Rovers",15231,53.5099,-1.11382
"King Power Stadium","Leicester City",32262,52.6203,-1.14217
"Kingsmeadow","AFC Wimbledon, Kingstonian",4720,51.4051,-0.281984
"Liberty Stadium","Swansea City",20532,51.6428,-3.93473
"Links Park","Montrose",3292,56.714,-2.45902
"Loftus Road","Queens Park Rangers",18360,51.5093,-0.232204
"London Road","Peterborough United",15315,52.5648,-0.240434
"Madjeski Stadium","Reading",24161,51.4222,-0.982777
"McDiarmid Park","St Johnstone",10673,56.4099,-3.47684
"Meadow Lane","Notts County",20229,52.9425,-1.13703
"Memorial Stadium","Bristol Rovers",12011,51.4862,-2.58315
"Millennium Stadium","Wales",74500,51.4782,-3.18281
"Molineux","Wolverhampton Wanderers",27828,52.5904,-2.13061
"Moss Rose","Macclesfield Town",6355,53.2427,-2.127
"New Broomfield","Airdrie United",10172,55.8601,-3.95997
"New Douglas Park","Hamilton Academical",6078,55.7821,-4.058
"New Meadow","Shrewsbury Town",9875,52.6886,-2.74931
"New York Stadiumn","Rotherham United",12021,53.4281,-1.36172
"Oakwell","Barnsley",23009,53.5524,-1.46756
"Ochilview Park","Stenhousemuir, East Stirlingshire",3776,56.0282,-3.81449
"Old Trafford","Manchester United",75811,53.4631,-2.29139
"Palmerston Park","Queen of the South",6412,55.0703,-3.6246
"Pirelli Stadium","Burton Albion",6912,52.8219,-1.62708
"Pittodrie","Aberdeen",22199,57.1593,-2.08872
"Plainmoor","Torquay United",6104,50.4764,-3.52382
"Portman Road","Ipswich Town",30311,52.0544,1.14554
"Prenton Park","Tranmere Rovers",16567,53.3738,-3.03269
"Pride Park","Derby County",33597,52.9149,-1.44727
"Priestfield Stadium","Gillingham",11582,51.3844,0.560367
"Recreation Ground","Aldershot Town",7100,51.2484,-0.754869
"Recreation Park","Alloa Athletic",3412,56.1166,-3.77865
"Reebok Stadium","Bolton Wanderers",28723,53.5805,-2.53571
"Ricoh Arena","Coventry City",32609,52.4481,-1.49563
"Riverside","Middlesbrough ",34988,54.5781,-1.21776
"Roots Hall","Southend United",12392,51.5491,0.701572
"Rugby Park","Kilmarnock",18128,55.6046,-4.50846
"Selhurst Park","Crystal Palace",26309,51.3983,-0.085455
"Seward Stadium","Bournemouth",10700,50.7352,-1.83839
"Shielfield Park","Berwick Rangers",4131,55.76,-2.01599
"Sixfields Stadium","Northampton Town",7653,52.2352,-0.933485
"Somerset Park","Ayr United",10243,55.4697,-4.61996
"Spotland Stadium","Rochdale",10249,53.6209,-2.17993
"St Andrews","Birmingham City",30009,52.4756,-1.86824
"St James Park","Newcastle United",52387,54.9756,-1.62179
"St James Park, Exeter","Exeter City",8541,50.7307,-3.52109
"St Mary's Stadium","Southampton",32689,50.9058,-1.39114
"St Mirren Park","St Mirren",8023,55.8529,-4.42879
"Stadium of Light","Sunderland",49000,54.9146,-1.38837
"Stadiummk","MK Dons",22000,52.0096,-0.733507
"Stair Park","Stranraer",5600,54.9022,-5.01249
"Stamford Bridge","Chelsea",41837,51.4816,-0.191034
"Stark's Park","Raith Rovers",10104,56.0999,-3.16851
"Station Park","Forfar Athletic",5177,56.6523,-2.88492
"Tannadice Park","Dundee United",14209,56.4748,-2.96902
"The Caledonian Stadium","Inverness Caledonian Thistle",7918,57.4951,-4.21751
"The City Ground","Nottingham Forest",30603,52.9399,-1.13258
"The County Ground","Swindon Town",15728,51.5645,-1.77107
"The Den","Millwall",20146,51.4859,-0.050743
"The Galpharm Stadium","Huddersfield Town",24500,53.6543,-1.76837
"The Hawthorns","West Bromwich Albion",26272,52.509,-1.96418
"The Lamex Stadium","Stevenage Borough",6722,51.8898,-0.193664
"The Valley","Charlton Athletic",27111,51.4865,0.036757
"Turf Moor","Burnley",22546,53.7888,-2.23018
"Tynecastle","Heart of Midlothian",17420,55.9388,-3.2325
"Underhill Stadium","Barnet",5260,51.6464,-0.191789
"Vale Park","Port Vale",19052,53.05,-2.1926
"Valley Parade","Bradford City",25136,53.8042,-1.75902
"Vicarage Road","Watford",17477,51.6498,-0.401569
"Victoria Park","Hartlepool United",7856,54.6891,-1.21274
"Victoria Park, Dingwall","Ross County",6310,57.5959,-4.41898
"Victoria Road","Dagenham and Redbridge",6078,51.5478,0.159739
"Villa Park","Aston Villa",42788,52.5092,-1.88508
"Wembley","England",90000,51.5559,-0.279543
"Weston Homes Community Stadium","Colchester United",10084,51.9234,0.897861
"Whaddon Road","Cheltenham Town",7066,51.9062,-2.06021
"White Hart Lane","Tottenham Hotspur",36230,51.6033,-0.065684
